Carat.Size,Color,Clarity,Depth,Table,Cut,Report,Price,Log.Price,Table.Depth,Table.Depth.1,Test
0.32,F,IF,61,58,Excellent,GIA,1100,7.00306546,-3,0.95081967,0
0.33,F,VVS1,61.8,56,Excellent,GIA,1100,7.00306546,-5.8,0.90614887,2
0.46,E,VS2,62.5,57,Good,GIA,1100,7.00306546,-5.5,0.912,1
0.42,F,VVS2,62,61,Very Good,GIA,1100,7.00306546,-1,0.98387097,0
0.44,F,VS2,61.6,60,Excellent,GIA,1100,7.00306546,-1.6,0.97402597,0
0.5,E,SI1,61.5,60,Good,GIA,1101,7.00397414,-1.5,0.97560976,0
0.4,F,VVS2,62.7,56,Excellent,GIA,1101,7.00397414,-6.7,0.89314195,2
0.39,G,IF,59.3,61,Excellent,GIA,1101,7.00397414,1.7,1.02866779,0
0.62,K,VS1,62.5,54,Excellent,GIA,1101,7.00397414,-8.5,0.864,2
0.3,E,IF,61.1,59,Very Good,GIA,1101,7.00397414,-2.1,0.96563011,0
0.43,F,VS1,62.8,57,Very Good,GIA,1102,7.00488199,-5.8,0.90764331,2
0.4,E,VS1,61.6,60,Excellent,GIA,1102,7.00488199,-1.6,0.97402597,1
0.4,E,VS1,62.4,56,Very Good,GIA,1102,7.00488199,-6.4,0.8974359,2
0.4,E,VS1,60.6,60,Excellent,GIA,1102,7.00488199,-0.6,0.99009901,0
0.64,J,SI1,62.1,56,Excellent,GIA,1102,7.00488199,-6.1,0.90177134,0
0.4,E,VS1,61.8,55,Excellent,GIA,1102,7.00488199,-6.8,0.88996764,1
0.4,E,VS1,62.2,57,Very Good,GIA,1102,7.00488199,-5.2,0.91639871,2
0.4,E,VS1,61.4,58,Excellent,GIA,1102,7.00488199,-3.4,0.94462541,0
0.4,E,VS1,61.3,59,Excellent,GIA,1102,7.00488199,-2.3,0.96247961,0
0.4,E,VS1,61.5,57,Excellent,GIA,1102,7.00488199,-4.5,0.92682927,1
0.57,F,SI2,62.1,59,Very Good,GIA,1129,7.02908756,-3.1,0.95008052,0
0.57,H,SI1,62.1,59,Excellent,GIA,1129,7.02908756,-3.1,0.95008052,0
0.57,H,SI1,62.6,58,Very Good,GIA,1129,7.02908756,-4.6,0.92651757,1
0.36,G,VVS1,60.1,57,Excellent,GIA,1129,7.02908756,-3.1,0.9484193,2
0.4,F,VS1,63.7,63,Good,GIA,1129,7.02908756,-0.7,0.98901099,0
0.34,F,IF,62.3,56,Excellent,GIA,1129,7.02908756,-6.3,0.8988764,0
0.54,H,SI1,61.7,59,Excellent,GIA,1129,7.02908756,-2.7,0.95623987,0
0.51,E,SI2,59.4,58,Very Good,GIA,1129,7.02908756,-1.4,0.97643098,1
0.45,F,VS1,62.6,57,Excellent,GIA,1129,7.02908756,-5.6,0.91054313,0
0.34,G,IF,58.8,59,Excellent,GIA,1129,7.02908756,0.2,1.00340136,0
0.34,F,VVS1,62.5,56,Excellent,GIA,1129,7.02908756,-6.5,0.896,2
0.4,G,VVS1,63.2,58,Very Good,GIA,1130,7.02997291,-5.2,0.91772152,0
0.4,F,VVS2,62.6,56,Excellent,GIA,1130,7.02997291,-6.6,0.89456869,0
0.41,E,VS1,62.4,57,Excellent,GIA,1130,7.02997291,-5.4,0.91346154,0
0.41,E,VS1,62.6,58,Excellent,GIA,1130,7.02997291,-4.6,0.92651757,0
0.41,E,VS1,62.3,57,Excellent,GIA,1130,7.02997291,-5.3,0.91492777,0
0.41,E,VS1,62.1,56,Excellent,GIA,1130,7.02997291,-6.1,0.90177134,0
0.41,E,VS1,61,56,Excellent,GIA,1130,7.02997291,-5,0.91803279,0
0.41,E,VS1,61.2,57,Excellent,GIA,1130,7.02997291,-4.2,0.93137255,2
0.41,E,VS1,61.9,55,Excellent,GIA,1130,7.02997291,-6.9,0.88852989,0
0.41,E,VS1,62.2,58,Very Good,GIA,1130,7.02997291,-4.2,0.93247588,2
0.41,E,VS1,62.8,56,Excellent,GIA,1130,7.02997291,-6.8,0.89171975,0
0.41,E,VVS2,61.9,59,Excellent,GIA,1130,7.02997291,-2.9,0.95315024,0
0.41,E,VS1,62.2,60,Excellent,GIA,1130,7.02997291,-2.2,0.96463023,2
0.41,E,VS1,61.2,60,Very Good,GIA,1130,7.02997291,-1.2,0.98039216,0
0.41,F,VVS1,61.2,58,Excellent,GIA,1154,7.05098945,-3.2,0.94771242,2
0.38,E,IF,62.2,57,Excellent,GIA,1154,7.05098945,-5.2,0.91639871,1
0.38,E,IF,61.3,58,Excellent,GIA,1154,7.05098945,-3.3,0.94616639,0
0.41,F,VVS1,62.7,55,Very Good,GIA,1154,7.05098945,-7.7,0.87719298,0
0.41,F,VVS1,61.3,59,Very Good,GIA,1154,7.05098945,-2.3,0.96247961,1
0.41,G,IF,63.9,57,Very Good,GIA,1154,7.05098945,-6.9,0.89201878,2
0.41,F,VVS1,60.6,58,Excellent,GIA,1154,7.05098945,-2.6,0.95709571,0
0.41,D,VVS2,59.9,57,Excellent,GIA,1154,7.05098945,-2.9,0.95158598,0
0.41,D,VVS2,63.1,55,Very Good,GIA,1154,7.05098945,-8.1,0.87163233,0
0.32,E,IF,59.7,59,Excellent,GIA,1155,7.05185562,-0.7,0.98827471,0
0.32,E,IF,61.4,57,Ideal,GIA,1155,7.05185562,-4.4,0.92833876,1
0.42,D,VS1,63,56,Very Good,GIA,1155,7.05185562,-7,0.88888889,0
0.54,G,SI1,59.4,60,Very Good,GIA,1155,7.05185562,0.6,1.01010101,0
0.54,G,VS2,59.5,65,Very Good,GIA,1155,7.05185562,5.5,1.09243697,1
0.61,J,VS2,61.1,58,Excellent,GIA,1155,7.05185562,-3.1,0.9492635,2
0.41,F,VS1,62,56,Excellent,GIA,1155,7.05185562,-6,0.90322581,0
0.5,E,SI2,59.7,59,Very Good,GIA,1156,7.05272105,-0.7,0.98827471,0
0.5,E,SI2,62.2,61,Very Good,GIA,1156,7.05272105,-1.2,0.9807074,0
0.5,E,SI2,62.8,60,Very Good,GIA,1156,7.05272105,-2.8,0.95541401,0
0.51,F,SI1,60.2,60,Excellent,GIA,1156,7.05272105,-0.2,0.99667774,0
0.35,G,IF,60.3,57,Ideal,GIA,1156,7.05272105,-3.3,0.94527363,0
0.45,I,VVS1,62.1,57,Excellent,GIA,1156,7.05272105,-5.1,0.9178744,1
0.4,E,VVS1,63.1,54,Very Good,GIA,1156,7.05272105,-9.1,0.85578447,0
0.4,E,VVS1,62.9,59,Very Good,GIA,1156,7.05272105,-3.9,0.93799682,2
0.4,E,VVS1,62.8,58,Very Good,GIA,1156,7.05272105,-4.8,0.92356688,1
0.4,D,VVS2,62.9,56,Very Good,GIA,1171,7.06561336,-6.9,0.89030207,0
0.3,D,IF,64.2,56,Very Good,GIA,1171,7.06561336,-8.2,0.87227414,2
0.3,D,IF,60.9,61,Very Good,GIA,1171,7.06561336,0.1,1.00164204,0
0.3,D,IF,61.7,58,Very Good,GIA,1171,7.06561336,-3.7,0.94003241,0
0.5,H,VS2,62.7,57,Excellent,GIA,1171,7.06561336,-5.7,0.90909091,0
0.51,E,SI1,63.6,58,Good,GIA,1172,7.06646697,-5.6,0.91194969,0
0.51,G,VS2,62.5,57,Very Good,GIA,1172,7.06646697,-5.5,0.912,1
0.51,E,SI1,63.2,60,Very Good,GIA,1172,7.06646697,-3.2,0.94936709,1
0.51,E,SI1,63.3,54,Very Good,GIA,1172,7.06646697,-9.3,0.85308057,0
0.51,G,VS2,63.3,56,Very Good,GIA,1172,7.06646697,-7.3,0.88467615,0
0.52,F,SI1,59.4,58,Very Good,GIA,1172,7.06646697,-1.4,0.97643098,2
0.45,G,VVS2,59.8,58,Excellent,GIA,1172,7.06646697,-1.8,0.96989967,0
0.52,H,SI1,62,57,Excellent,GIA,1172,7.06646697,-5,0.91935484,0
0.47,I,VVS1,61.7,58,Excellent,GIA,1172,7.06646697,-3.7,0.94003241,0
0.47,G,VS1,59.9,58,Very Good,GIA,1172,7.06646697,-1.9,0.96828047,0
0.4,F,VS1,60.5,58,Excellent,GIA,1173,7.06731985,-2.5,0.95867769,0
0.37,H,IF,62.4,57,Excellent,GIA,1173,7.06731985,-5.4,0.91346154,0
0.53,E,SI1,60.1,59,Very Good,GIA,1173,7.06731985,-1.1,0.98169717,0
0.33,E,IF,61.3,58,Excellent,GIA,1173,7.06731985,-3.3,0.94616639,1
0.51,H,SI1,61.6,56,Excellent,GIA,1173,7.06731985,-5.6,0.90909091,0
0.38,E,IF,59,59,Excellent,GIA,1173,7.06731985,0,1,2
0.47,G,VVS2,63,56,Very Good,GIA,1174,7.068172,-7,0.88888889,0
0.35,G,IF,62.2,56,Excellent,GIA,1174,7.068172,-6.2,0.90032154,0
0.35,G,IF,60,57,Excellent,GIA,1174,7.068172,-3,0.95,0
0.44,E,VVS1,61.9,58,Very Good,GIA,1174,7.068172,-3.9,0.93699515,0
0.31,D,IF,61.5,56,Ideal,GIA,1193,7.08422642,-5.5,0.91056911,2
0.6,J,VS1,64.2,56,Very Good,GIA,1193,7.08422642,-8.2,0.87227414,0
0.42,G,VVS1,62.5,55,Very Good,GIA,1193,7.08422642,-7.5,0.88,0
0.42,F,VVS2,61.5,57,Excellent,GIA,1193,7.08422642,-4.5,0.92682927,2
0.42,G,VVS1,62.7,60,Very Good,GIA,1193,7.08422642,-2.7,0.9569378,0
0.42,G,VVS1,60.9,57,Very Good,GIA,1193,7.08422642,-3.9,0.93596059,1
0.42,G,VVS1,60.4,59,Very Good,GIA,1193,7.08422642,-1.4,0.97682119,0
0.5,I,VS1,62.6,60,Very Good,GIA,1194,7.08506429,-2.6,0.95846645,0
0.53,F,VS2,58.1,60,Very Good,GIA,1194,7.08506429,1.9,1.03270224,0
0.5,E,SI1,60.9,54,Excellent,GIA,1194,7.08506429,-6.9,0.88669951,1
0.44,E,VVS2,61.3,57,Excellent,GIA,1194,7.08506429,-4.3,0.92985318,2
0.53,F,SI1,62.9,58,Very Good,GIA,1194,7.08506429,-4.9,0.92209857,0
0.5,G,VS2,62.8,58,Very Good,GIA,1194,7.08506429,-4.8,0.92356688,2
0.4,D,VS1,62.9,57,Very Good,GIA,1194,7.08506429,-5.9,0.90620032,0
0.43,E,VS1,61.4,58,Excellent,GIA,1194,7.08506429,-3.4,0.94462541,0
0.42,D,VS1,62.2,57,Excellent,GIA,1194,7.08506429,-5.2,0.91639871,0
0.52,E,SI1,60.2,58,Very Good,GIA,1194,7.08506429,-2.2,0.96345515,2
0.35,D,VVS1,60.8,59,Excellent,GIA,1195,7.08590146,-1.8,0.97039474,2
0.35,D,VVS1,61.9,59,Excellent,GIA,1195,7.08590146,-2.9,0.95315024,1
0.51,H,VS2,62.7,60,Very Good,GIA,1195,7.08590146,-2.7,0.9569378,2
0.51,H,VS2,62.2,58,Excellent,GIA,1195,7.08590146,-4.2,0.93247588,1
0.51,G,SI1,62.6,55,Excellent,GIA,1195,7.08590146,-7.6,0.87859425,0
0.51,D,SI2,61.7,57,Excellent,GIA,1195,7.08590146,-4.7,0.92382496,2
0.55,H,VS2,62.5,60,Very Good,GIA,1195,7.08590146,-2.5,0.96,0
0.41,E,VVS2,62.4,56,Excellent,GIA,1195,7.08590146,-6.4,0.8974359,0
0.33,E,IF,58.1,61,Very Good,GIA,1215,7.10249936,2.9,1.04991394,0
0.56,F,SI2,61.5,56,Excellent,GIA,1215,7.10249936,-5.5,0.91056911,0
0.6,F,SI2,62.5,58,Very Good,GIA,1215,7.10249936,-4.5,0.928,0
0.4,D,VVS2,63.5,57,Very Good,GIA,1215,7.10249936,-6.5,0.8976378,0
0.4,F,VVS1,63.2,58,Very Good,GIA,1215,7.10249936,-5.2,0.91772152,0
0.4,F,VVS1,62.8,58,Excellent,GIA,1215,7.10249936,-4.8,0.92356688,0
0.4,D,VVS2,60.5,59,Excellent,GIA,1215,7.10249936,-1.5,0.97520661,0
0.4,G,IF,61.9,56,Very Good,GIA,1215,7.10249936,-5.9,0.90468498,0
0.4,D,VVS2,61.1,57,Very Good,GIA,1215,7.10249936,-4.1,0.93289689,2
0.52,D,SI2,62.7,56,Very Good,GIA,1215,7.10249936,-6.7,0.89314195,0
0.4,F,VVS1,60.8,60,Very Good,GIA,1215,7.10249936,-0.8,0.98684211,0
0.4,F,VVS1,60.8,56,Ideal,GIA,1215,7.10249936,-4.8,0.92105263,0
0.4,F,VVS1,60.8,58,Excellent,GIA,1215,7.10249936,-2.8,0.95394737,0
0.4,F,VVS1,61.1,58,Excellent,GIA,1215,7.10249936,-3.1,0.9492635,2
0.4,F,VVS1,61.3,58,Excellent,GIA,1215,7.10249936,-3.3,0.94616639,0
0.65,J,VS2,62.5,58,Excellent,GIA,1215,7.10249936,-4.5,0.928,0
0.4,F,VVS1,63.1,56,Very Good,GIA,1215,7.10249936,-7.1,0.88748019,2
0.4,F,VVS1,63.9,57,Very Good,GIA,1215,7.10249936,-6.9,0.89201878,1
0.4,D,VVS2,61,59,Excellent,GIA,1215,7.10249936,-2,0.96721311,0
0.43,E,VS1,62.2,57,Excellent,GIA,1215,7.10249936,-5.2,0.91639871,0
0.44,D,VS1,62.2,59,Excellent,GIA,1216,7.10332206,-3.2,0.94855305,2
0.41,I,IF,60.1,57,Ideal,GIA,1216,7.10332206,-3.1,0.9484193,0
0.4,E,VS1,63.7,57,Very Good,GIA,1216,7.10332206,-6.7,0.89481947,2
0.4,G,VVS1,60.3,57,Excellent,GIA,1216,7.10332206,-3.3,0.94527363,0
0.4,G,VVS1,61.2,60,Excellent,GIA,1216,7.10332206,-1.2,0.98039216,0
0.42,F,VVS1,60.6,58,Excellent,GIA,1237,7.12044437,-2.6,0.95709571,2
0.38,F,VVS1,61.3,58,Excellent,GIA,1237,7.12044437,-3.3,0.94616639,0
0.62,J,VS1,63.1,60,Good,GIA,1237,7.12044437,-3.1,0.95087163,0
0.38,F,VVS1,60,57,Ideal,GIA,1237,7.12044437,-3,0.95,1
0.42,D,VS1,61.3,58,Excellent,GIA,1238,7.12125245,-3.3,0.94616639,2
0.54,E,SI2,62.1,56,Very Good,GIA,1238,7.12125245,-6.1,0.90177134,0
0.4,D,VVS2,60.4,59,Very Good,GIA,1238,7.12125245,-1.4,0.97682119,1
0.4,F,VVS1,59.7,60,Excellent,GIA,1239,7.12205988,0.3,1.00502513,2
0.4,F,VVS1,58.7,62,Excellent,GIA,1239,7.12205988,3.3,1.05621806,0
0.4,F,VVS1,59.9,61,Excellent,GIA,1239,7.12205988,1.1,1.01836394,2
0.47,D,VS1,62.4,56,Excellent,GIA,1239,7.12205988,-6.4,0.8974359,1
0.44,F,VVS1,62.9,55,Excellent,GIA,1239,7.12205988,-7.9,0.87440382,0
0.56,G,SI1,61.3,58,Very Good,GIA,1239,7.12205988,-3.3,0.94616639,0
0.4,E,VVS2,61.2,55,Ideal,GIA,1239,7.12205988,-6.2,0.89869281,1
0.61,F,SI1,63.8,60,Very Good,GIA,1239,7.12205988,-3.8,0.94043887,1
0.41,E,VVS2,59,57,Very Good,GIA,1239,7.12205988,-2,0.96610169,0
0.54,D,SI2,59.8,60,Excellent,GIA,1239,7.12205988,0.2,1.00334448,0
0.5,J,VVS1,63.1,58,Very Good,GIA,1239,7.12205988,-5.1,0.91917591,2
0.6,I,VS2,62,56,Excellent,GIA,1239,7.12205988,-6,0.90322581,0
0.57,E,SI2,63.5,60,Very Good,GIA,1240,7.12286666,-3.5,0.94488189,1
0.58,G,SI1,60.8,58,Excellent,GIA,1240,7.12286666,-2.8,0.95394737,0
0.49,F,VS1,61.1,55,Very Good,GIA,1240,7.12286666,-6.1,0.90016367,0
0.43,F,VVS1,60.8,58,Very Good,GIA,1240,7.12286666,-2.8,0.95394737,2
